Category: All categories

Week,SPSS: (Worldwide),SAS: (Worldwide),RStudio: (Worldwide)
2011-11-06,34,91,1
2011-11-13,38,94,1
2011-11-20,37,88,1
2011-11-27,38,93,1
2011-12-04,38,87,1
2011-12-11,35,86,1
2011-12-18,28,77,1
2011-12-25,21,71,0
2012-01-01,27,87,1
2012-01-08,32,99,1
2012-01-15,31,100,1
2012-01-22,31,98,1
2012-01-29,31,97,1
2012-02-05,33,96,1
2012-02-12,32,94,1
2012-02-19,33,93,1
2012-02-26,35,96,1
2012-03-04,35,96,1
2012-03-11,36,93,1
2012-03-18,37,93,1
2012-03-25,37,94,1
2012-04-01,34,83,1
2012-04-08,35,88,1
2012-04-15,38,89,1
2012-04-22,38,88,1
2012-04-29,36,84,1
2012-05-06,37,88,1
2012-05-13,36,88,1
2012-05-20,36,90,1
2012-05-27,34,87,1
2012-06-03,33,88,1
2012-06-10,32,85,1
2012-06-17,32,87,1
2012-06-24,30,90,1
2012-07-01,27,82,1
2012-07-08,28,86,1
2012-07-15,27,81,1
2012-07-22,27,83,1
2012-07-29,25,80,1
2012-08-05,25,77,1
2012-08-12,25,80,1
2012-08-19,25,85,1
2012-08-26,26,90,1
2012-09-02,29,86,1
2012-09-09,30,88,1
2012-09-16,31,89,1
2012-09-23,31,95,1
2012-09-30,31,86,1
2012-10-07,32,87,1
2012-10-14,31,89,1
2012-10-21,30,89,1
2012-10-28,31,86,1
2012-11-04,33,82,1
2012-11-11,33,94,1
2012-11-18,33,99,1
2012-11-25,35,86,1
2012-12-02,35,79,1
2012-12-09,34,78,1
2012-12-16,29,74,1
2012-12-23,20,58,1
2012-12-30,21,68,1
2013-01-06,30,88,1
2013-01-13,30,90,1
2013-01-20,30,87,1
2013-01-27,30,87,1
2013-02-03,29,85,1
2013-02-10,29,81,1
2013-02-17,31,82,1
2013-02-24,32,84,1
2013-03-03,32,83,1
2013-03-10,33,83,1
2013-03-17,33,85,1
2013-03-24,32,75,1
2013-03-31,32,82,1
2013-04-07,35,90,1
2013-04-14,37,87,1
2013-04-21,36,86,1
2013-04-28,35,83,1
2013-05-05,35,79,1
2013-05-12,35,79,1
2013-05-19,34,79,1
2013-05-26,33,80,1
2013-06-02,32,81,1
2013-06-09,31,81,1
2013-06-16,30,83,1
2013-06-23,28,86,1
2013-06-30,25,79,1
2013-07-07,25,78,1
2013-07-14,24,80,1
2013-07-21,24,77,1
2013-07-28,23,78,1
2013-08-04,22,75,1
2013-08-11,21,71,1
2013-08-18,23,80,1
2013-08-25,24,80,1
2013-09-01,25,80,1
2013-09-08,27,82,1
2013-09-15,27,81,1
2013-09-22,28,86,1
2013-09-29,29,83,2
2013-10-06,30,83,1
2013-10-13,28,82,1
2013-10-20,30,84,1
2013-10-27,31,85,2
2013-11-03,31,80,2
2013-11-10,33,76,1
2013-11-17,34,79,1
2013-11-24,33,75,1
2013-12-01,34,77,1
2013-12-08,33,75,1
2013-12-15,29,73,1
2013-12-22,19,53,1
2013-12-29,19,59,1
2014-01-05,28,85,1
