"Date","SPSS","SAS","RStudio"
2011-03-11,91,99,21
2011-03-18,92,91,18
2011-03-25,98,93,16
2011-04-01,100,100,19
2011-04-08,99,95,20
2011-04-15,99,94,19
2011-04-22,97,83,19
2011-04-29,97,92,16
2011-05-06,99,94,18
2011-05-13,98,94,17
2011-05-20,98,95,18
2011-05-27,97,99,21
2011-06-03,91,90,17
2011-06-10,91,95,16
2011-06-17,86,97,21
2011-06-24,84,97,18
2011-07-01,78,96,15
2011-07-08,75,93,19
2011-07-15,76,90,16
2011-07-22,72,90,17
2011-07-29,69,86,19
2011-08-05,67,83,19
2011-08-12,68,81,19
2011-08-19,69,82,18
2011-08-26,69,87,17
2011-09-02,67,90,18
2011-09-09,74,88,19
2011-09-16,80,91,21
2011-09-23,85,93,20
2011-09-30,84,96,22
2011-10-07,87,93,26
2011-10-14,88,95,25
2011-10-21,90,96,23
2011-10-28,87,99,22
2011-11-04,88,92,23
2011-11-11,88,93,21
2011-11-18,96,94,21
2011-11-25,94,90,20
2011-12-02,97,91,20
2011-12-09,97,86,20
2011-12-16,91,87,21
2011-12-23,73,78,21
2011-12-30,57,71,12
2012-01-06,70,87,19
2012-01-13,81,96,19
2012-01-20,82,98,20
2012-01-27,80,95,23
2012-02-03,81,95,23
2012-02-10,83,92,23
2012-02-17,82,92,23
2012-02-24,86,92,24
2012-03-02,90,94,22
2012-03-09,90,92,26
2012-03-16,89,91,25
2012-03-23,94,91,25
2012-03-30,94,92,22
2012-04-06,87,82,19
2012-04-13,89,87,25
2012-04-20,98,89,24
2012-04-27,98,88,24
2012-05-04,93,84,22
2012-05-11,96,87,23
2012-05-18,92,88,23
2012-05-25,93,88,24
2012-06-01,87,88,21
2012-06-08,84,89,25
2012-06-15,84,86,23
2012-06-22,81,87,26
2012-06-29,78,91,24
2012-07-06,71,84,21
2012-07-13,72,85,22
2012-07-20,69,83,21
2012-07-27,66,85,21
2012-08-03,65,80,21
2012-08-10,63,78,22
2012-08-17,64,80,22
2012-08-24,62,84,22
2012-08-31,67,87,27
2012-09-07,74,86,31
2012-09-14,77,87,29
2012-09-21,79,88,32
2012-09-28,80,91,32
2012-10-05,81,86,32
2012-10-12,80,86,30
2012-10-19,80,86,28
2012-10-26,78,88,30
2012-11-02,78,84,28
